tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2023-9900,United Cup,Hard,18,A,20230102,252,3,RR,64,126203,3,,Taylor Fritz,R,193,USA,25,100644,10,,Alexander Zverev,R,198,GER,25,6,6,,,,8,4,45,27,26,11,9,1,1,1,4,,,,3,5,60,48,31,3,8,3,6,9,12
2023-9900,United Cup,Hard,18,A,20230102,251,3,RR,75,126207,,,Frances Tiafoe,R,188,USA,24,106214,,,Oscar Otte,R,196,GER,29,7,6,,,,9,3,56,30,29,16,11,0,0,5,4,,,,10,0,58,30,23,18,11,0,2,19,76
2023-9900,United Cup,Hard,18,A,20230102,275,3,RR,133,208852,,,Stefanos Sakellaridis,U,,GRE,18,200267,,,Zizou Bergs,R,185,BEL,23,5,6,6,,,8,1,86,50,37,21,14,4,5,7,1,3,,,1,5,86,52,33,16,14,3,7,803,129
2023-9900,United Cup,Hard,18,A,20230102,247,3,RR,80,126207,,,Frances Tiafoe,R,188,USA,24,207830,,,Tomas Machac,R,183,CZE,22,6,2,,,,4,1,55,36,24,10,8,2,4,3,4,,,,6,5,59,37,27,6,7,3,5,19,97
2023-9900,United Cup,Hard,18,A,20230102,248,3,RR,,126203,3,,Taylor Fritz,R,193,USA,25,208103,14,,Jiri Lehecka,R,185,CZE,21,6,6,,,,5,3,68,41,32,14,10,2,2,3,4,,,,4,1,48,31,24,8,9,1,3,9,81
2023-2843,Adelaide 1,Hard,32,A,20230102,298,3,SF,74,200624,,,Sebastian Korda,R,196,USA,22,106415,,,Yoshihito Nishioka,L,170,JPN,27,7,1,,,,9,0,40,23,21,10,6,0,0,6,0,,,,0,0,54,40,29,6,7,3,4,33,36
2023-2843,Adelaide 1,Hard,32,A,20230102,299,3,SF,90,104925,1,,Novak Djokovic,R,188,SRB,35,106421,3,,Daniil Medvedev,R,198,RUS,26,6,6,,,,5,3,61,35,31,14,10,3,3,3,4,,,,5,2,48,31,23,9,9,1,3,5,7
2023-2843,Adelaide 1,Hard,32,A,20230102,300,3,F,189,104925,1,,Novak Djokovic,R,188,SRB,35,200624,,,Sebastian Korda,R,196,USA,22,6,7,6,,,7,4,99,62,53,25,17,1,2,7,6,4,,,15,4,129,76,59,27,17,5,7,5,33
2023-9900,United Cup,Hard,18,A,20230102,207,3,RR,97,127339,,,Borna Gojo,R,196,CRO,24,105948,,,Federico Coria,R,180,ARG,30,7,6,,,,6,3,66,47,37,10,11,0,0,6,4,,,,0,0,81,50,37,15,11,3,4,144,75
2023-9900,United Cup,Hard,18,A,20230102,208,3,RR,128,106432,8,,Borna Coric,R,188,CRO,26,202103,17,,Francisco Cerundolo,R,185,ARG,24,7,6,,,,4,2,81,51,37,12,11,8,10,5,4,,,,2,1,70,50,31,8,11,5,9,26,30
